assetId,downloadAttribute,filetype,size,downloadLink,rawLink
Bricks070,8K-PNG,zip,1079820653,https://ambientcg.com/get?file=Bricks070_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks070_e4qyl1m7/Bricks070_8K-PNG.zip
MarbleSubstance003,HQ,sbsar,69779094,https://ambientcg.com/get?file=MarbleSubstance003_HQ.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/MarbleSubstance003_hblsta58/MarbleSubstance003_HQ.sbsar
MarbleSubstance003,LQ,sbsar,8271048,https://ambientcg.com/get?file=MarbleSubstance003_LQ.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/MarbleSubstance003_hblsta58/MarbleSubstance003_LQ.sbsar
Marble025,1K-JPG,zip,2040820,https://ambientcg.com/get?file=Marble025_1K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble025_kejdgvyh/Marble025_1K-JPG.zip
Marble025,1K-PNG,zip,11323540,https://ambientcg.com/get?file=Marble025_1K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble025_kejdgvyh/Marble025_1K-PNG.zip
Marble025,2K-JPG,zip,7422282,https://ambientcg.com/get?file=Marble025_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble025_kejdgvyh/Marble025_2K-JPG.zip
Marble025,2K-PNG,zip,44441848,https://ambientcg.com/get?file=Marble025_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble025_kejdgvyh/Marble025_2K-PNG.zip
Marble025,4K-JPG,zip,25012239,https://ambientcg.com/get?file=Marble025_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble025_kejdgvyh/Marble025_4K-JPG.zip
Marble025,4K-PNG,zip,169515093,https://ambientcg.com/get?file=Marble025_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble025_kejdgvyh/Marble025_4K-PNG.zip
Marble025,8K-JPG,zip,82641556,https://ambientcg.com/get?file=Marble025_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble025_kejdgvyh/Marble025_8K-JPG.zip
Marble025,8K-PNG,zip,649433139,https://ambientcg.com/get?file=Marble025_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble025_kejdgvyh/Marble025_8K-PNG.zip
Marble024,1K-JPG,zip,2055636,https://ambientcg.com/get?file=Marble024_1K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble024_nckoxpd8/Marble024_1K-JPG.zip
Marble024,1K-PNG,zip,11757140,https://ambientcg.com/get?file=Marble024_1K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble024_nckoxpd8/Marble024_1K-PNG.zip
Marble024,2K-JPG,zip,7450929,https://ambientcg.com/get?file=Marble024_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble024_nckoxpd8/Marble024_2K-JPG.zip
Marble024,2K-PNG,zip,46097253,https://ambientcg.com/get?file=Marble024_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble024_nckoxpd8/Marble024_2K-PNG.zip
Marble024,4K-JPG,zip,25057134,https://ambientcg.com/get?file=Marble024_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble024_nckoxpd8/Marble024_4K-JPG.zip
Marble024,4K-PNG,zip,176061395,https://ambientcg.com/get?file=Marble024_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble024_nckoxpd8/Marble024_4K-PNG.zip
Marble024,8K-JPG,zip,85169804,https://ambientcg.com/get?file=Marble024_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble024_nckoxpd8/Marble024_8K-JPG.zip
Marble024,8K-PNG,zip,681870043,https://ambientcg.com/get?file=Marble024_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble024_nckoxpd8/Marble024_8K-PNG.zip
Marble023,1K-JPG,zip,2661156,https://ambientcg.com/get?file=Marble023_1K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble023_9vgompel/Marble023_1K-JPG.zip
Marble023,1K-PNG,zip,12940712,https://ambientcg.com/get?file=Marble023_1K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble023_9vgompel/Marble023_1K-PNG.zip
Marble023,2K-JPG,zip,9680603,https://ambientcg.com/get?file=Marble023_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble023_9vgompel/Marble023_2K-JPG.zip
Marble023,2K-PNG,zip,50778257,https://ambientcg.com/get?file=Marble023_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble023_9vgompel/Marble023_2K-PNG.zip
Marble023,4K-JPG,zip,32471841,https://ambientcg.com/get?file=Marble023_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble023_9vgompel/Marble023_4K-JPG.zip
Marble023,4K-PNG,zip,195228981,https://ambientcg.com/get?file=Marble023_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Marble023_9vgompel/Marble023_4K-PNG.zip
